question,answer,label
JUnitのテストは、仕様書に書いてあるもの全てをテストすればいいですか？,"はい、そうです。ただしクラス名など、通常のテストプログラムでテストできないものは、テストしなくて構いません[Name_edf5bd]わかりました。
ありがとうございました。[Name_edf5bd]いえいえ",0
テストプログラムってどのように作っていけばいいですか？,[対応開始]以降のスレッドは質問者に転送されます。対応が終了した場合、 :対応済2: をスレッドトップのメッセージにつけてください。[Name_edf5bd]実行時エラーとなるものはテストしなくて構いません[Name_edf5bd]実行時エラーを予測して、テストするのもありです[Name_edf5bd]なるほど、わかりました。実行時エラーにならないかつ動作的におかしそうなものや正しそうなものをテストすればいいんですね[Name_edf5bd]はい、そうなります[Name_edf5bd]実開発ではそうとは限りませんが。[Name_edf5bd]課題としては実行時エラーは考慮外でOKです,0
"JUnitは正しい引数をテストするで合ってますか
チェックとして間違いと分かっているものテストしても間違っていませんか？","何が正しくて、何が間違っているのか言葉が難しいですが。
正しい引数で正しい結果、これはチェックします。
間違った引数で、「間違っているという」(falseが帰ってくるとか)の正しい結果、これもチェックします。
なんか判りにくいですけど、良いですか？[Name_edf5bd]引数を渡して自分が思ってる答えが返ってるかを確認する？
で合ってますか[Name_edf5bd]そうですね。自分が思っているは、正確には「仕様書に記述されている仕様通りの結果」ですね。[Name_edf5bd]今回でいうとソがンになっている場合，「ン」を引数に出すで合ってますか？
考え方として[Name_edf5bd]今回の仕様書は細かい事まで完全に記述されていないので、どこまで補うかは難しい所です。少しは書かれていない事も補わないといけないでしょうが、完璧に補おうとすると作業量が多すぎます。[Name_edf5bd]了解です
ありがとうございます[Name_edf5bd]「ダウンタウンの浜ちゃん」はOKで、「ダウソタウソの浜ちゃん」はNGですね。そういうチェックも有りですけど、今回そんな話ありましたっけ？[Name_edf5bd]あったと思います
ドレミファのとこですね[Name_edf5bd]ああ、そうですね。すみません。",0
度々失礼いたします。予想結果がエラーになる場合，その処理のJUnitはどのように書けばいいのでしょうか?そもそもエラーになる処理はJunitでは省区のでしょうか?,エラーとは実行時エラーのことでしょうか?[Name_edf5bd]はい，そうです。[Name_edf5bd]try-catch文を使えば対応できそうな気もしますが、とりあえずそれらはテストしなくて構いません。[Name_edf5bd]わかりました。何度もありがとうございます。[Name_edf5bd]いえいえいえ,0
EclEmmaによるカバレッジ計測に使うプログラムは自分で作成したテストプログラムですか？,"はい
自分で作成したテストプログラムのカバレッジを測ってください[Name_edf5bd]了解です。ありがとうございます。",0
"String型の引数を持つメソッドに、記号、空白、長い文字などをダブルクオーテーションで括ったものを与えた時のテスト種別は、「同値分割法の無効同値クラス」になりますか？

Hermonoidの名前の設定で、それらを代入したときのテスト種別がわからないです。","本来は無効同値クラスですが、仕様書には明記されていません。そのためテスターの考え方次第(どちらでも減点されない)になるのですが、私なら無効同値クラスにします[Name_edf5bd]それがダブルクオーテーションで囲まれていなければ(String文字列でなければ)、実行不可能でも無効同値クラスになりますか？

あるいはJavaの仕様上で実行不可能なので、テストしませんか？[Name_edf5bd]実行時エラーになるものはとりあえずテストしなくて良いです[Name_edf5bd]わかりました。プログラム上でテストできるものだけでいいのですね。

ありがとうございました。[Name_edf5bd]いえいえ",0
レポートでバグの箇所を色付けするには、どうすればいいのでしょうか。レポートではlisting環境を使ってソースコードを貼っています。,色を付けるのは必須ではありません。XXクラスのN行目などと表現すればOKです[Name_edf5bd]ありがとうございます[Name_edf5bd]いえいえ,0
レイアウトのバランス的に最初に入れるとおかしくなるので、最後にテスト仕様書の詳しく記入したものを後付けしても良いですか？それとも簡略化したテスト仕様書のままの方が良いですか？,"[対応開始]以降のスレッドは質問者に転送されます。対応が終了した場合、 :対応済2: をスレッドトップのメッセージにつけてください。[Name_edf5bd]レポートには詳しく記入したテスト仕様書を載せて下さい。
（簡略化しているモノは授業での説明用と思って下さい）[Name_edf5bd][対応終了]以降のスレッドは転送されません。",0
バグとかのところって写真でもいいのですか？,はい。構いません。追加でどこのクラスの何行目かを示していただくと分かりやすいと思います。,0
レポート内の｢バグの箇所｣の部分でバグの部分を色を付けて表示したいのですが上手くいかないです,"&gt; 色を付けるのは必須ではありません。XXクラスのN行目などと表現すればOKです
先生からのコメントです。[Name_edf5bd]スレッドが終了しないまま、書き込み無しで１週間経過しているので、一旦このスレッドを終了します。何かあれば、新たに質問してください。",0
サブクラス から別の抽象クラスのメソッドを呼び出すにはどうすればいいでしょうか？,"おそらく、質問の仕方がまずいと思われるので、求められている回答とは違うと思うのですが。
抽象クラスはインスタンスが作れませんから、static メソッドしか呼ぶことはできません。[Name_edf5bd]抽象クラスを別のクラスに委譲するのはどのような動きになるのでしょうか[Name_edf5bd]先ほども言いましたが、抽象クラスが移譲されることは基本的にあり得ませんし、委譲する側もそれが移譲先クラスのどのどのようなサブクラスで処理されるのかを考慮することは好ましくありません。
具体的に、どう言うことがしたいのかを聞いて貰えば、より適切な答えをすることができると思いますが、現状では、「基本できない」としか言いようがありません。[Name_edf5bd]雑な質問ですみません。
中間課題の(2)の移譲をうまく書くことができずにこのような感じで質問してしまいました。
インターフェースをPrism,Pyramidでどのようにインスタンスを生成するかができずにつまづいています。[Name_edf5bd]つまり、実は前期のプログラミング実習１の課題ができていないままだったわけですね。今回の課題はそれができているのが前提で、レポートだけ書けと言う趣旨でしたので。

以下、本題です。
「錐」を例にとりますが、「柱」でも同じです。
当然ですが、「錐」の体積は、「底面積」*「高さ」/3 ですよね。
これは、何を意味しているかといえば、全ての「錐」の体積は「底面積」と「高さ」さえわかれば良いことになります。
つまり、「錐」の具象クラスでは、底面図形が何か（円だとか、長方形だとか）を与え、「錐」である抽象クラスでは、底面積の計算を、下位具象クラスで与えられた底面図形に移譲すれば良いことになります。",0
EclEmmaがインストールできないのですがどうすればいいでしょうか？,"最新のPleiadesをインストールしてください
<https://example.com/sample1
<https://example.com/sample2",0
レポートの2章3章などで定義するクラスは合計何個ですか？,質問の意図はどういうことでしょう? ヒントを下さいということでしょうか?[Name_edf5bd]そうです。例えば表1とかで記述するクラスは新しく作ったCircleクラスとRectangleクラスとかなんですか？[Name_edf5bd]はい，新しく作ったクラスを書きます[Name_edf5bd]表1のクラス数は10個前後になると思います[Name_edf5bd]わかりました,0
"プログラムをターミナルで実行する方法について質問があります。
中間課題のレポートに実行結果のスクリーンショットを載せようとしています。TestFigure3Dをターミナルで実行しようとしたところ、うまく行きませんでした。カレントディレクトリを~/Name_094535/workspace/Name_f979c5/bin/midrep01にし、java TestFigure3Dとしました。すると、""エラー: メイン・クラスTestFigure3Dを検出およびロードできませんでした""と出ます。他にも色々試しましたができませんでした。どのようにすればターミナルで実行できるのか教えて頂きたいです。","まず、
ls ~/Name_094535/workspace/Name_f979c5/bin/midrep01/Name_7a0a0d.class
で、確認してみてください。[Name_edf5bd]確認しました。[Name_edf5bd]```/home/user/Name_f28128/workspace/Name_f96350/bin/midrep01/Name_7a0a0d.class```[Name_edf5bd]と出ました。[Name_edf5bd]この状況ですと、Name_9db234.java に main メソッドがないことしか考えられないのですが。
一度、~/Name_094535/workspace/Name_f979c5/bin/midrep01/の下に何か（例えばhelloWorld）を作って、実行できるか試してみましょうか。[Name_edf5bd]~/Name_094535/workspace/Name_f979c5/bin
で
java midrep01.Name_7a0a0d
では[Name_edf5bd]わかりました。今手元にパソコンがないためできませんが、確認してみます。[Name_edf5bd]確認でき次第連絡致します。[Name_edf5bd]実行結果が表示されました。ありがとうございます。質問ですが、なぜbinでないと実行できないのでしょうか。[Name_edf5bd]java コマンドは　java パッケージ名.クラス名
です。実行する場所は、パッケージのある場所です。
最初は
```/home/user/Name_f28128/workspace/Name_f96350/midrep01/bin```
と勘違いしていました。[Name_edf5bd]なるほど、わかりました。ありがとうございます。",0
中間課題の提出期限なのですが、締め切りが11/6の明日までになっているのですが、第８回の実習の前日が今日までなので今日提出しなければいけないのでしょうか？,明日の23:59まででOKです[Name_edf5bd]承知しました。ありがとうございます！！[Name_edf5bd]いえいえ!,0
"なんどもすみません。
中間課題の締め切りに関してなのですが、Slackでは「中間課題の締切は「第8回実習の前日(11月6日) 23:59」です(次回実習の前日ではありません)」と書かれているのですが、第８回の実習の前日は11/5です。なので今日中に提出する必要があるのでしょうか？それとも締め切りは明日11/6の23:59までになるのでしょうか。",よく読むと、意図としては今日中ですね。ただ11/6で締切設定しているので、明日でOKです[Name_edf5bd]承知しました。ありがとうございます。[Name_edf5bd]こちらこそ混乱させて申し訳ないです,0
"失礼します。メディアコース2年の浜本大翔です。
中間課題のClassroom上での提出期限が6日(金)の23:59となっており、それが期限と思い込んでいたので、現時点(6日の1:30)でも課題が未完成なのですが、プロ実2の講義ホームページの方を見ると期限が「第8回実習の前日(11月6日) 23:59」と書いてありました。しかし、第8回実習の前日の実際の日付は11月5日で既に過ぎてしまいました。
どちらの提出期限の方が正しいのですか？",本来は11/5の意図でしたが、11/6と書いてしまっているので、11/6で構いません[Name_edf5bd]分かりました。,0
"夜分遅くに失礼します。latexにおいてソースコードの指定した箇所に色付けする方法について質問があります。

課題7のレポートにおいて、バグのある箇所に色をつけたいと思いました。色々なサイトを見ながら見よう見まねでやってみましたがエラーは消えず、時間がなかったので結局色をつけずに提出しました。このままでは分からずじまいになってしまうので教えていただけないでしょうか。","```! Name_185368 of \lst@enext has an extra }.
&lt;inserted text&gt; 
                \par 
l.287 \begin{lstlisting}```[Name_edf5bd][対応開始]以降のスレッドは質問者に転送されます。対応が終了した場合、 :対応済2: をスレッドトップのメッセージにつけてください。[Name_edf5bd]色付けは不要です[Name_edf5bd]あ、色の付け方を知りたいのですね。後で返信します[Name_edf5bd]余分なカッコがあるのでは。extraと書いているので[Name_edf5bd]Texのソースを貼り付けてください．
begin{document}までの手前部分と，色付けしようてしている部分前後だけでOKです[Name_edf5bd]可能なら，オンラインのTexエディター上で，色付けしたpdfを作成できるかも試してみてください
<https://example.com/sample3
<https://example.com/sample4
にサンプルTeXファイルを置きましたので、参考にしてみて下さい。[Name_edf5bd](すみません。そのTeXファイルは
<https://example.com/sample5
もないと動きません。(図をincludegraphicsで取り込んでいるので))[Name_edf5bd]わかりました、丁寧にありがとうございます。試してみます。",0
メディア資料の動画の声が小さくなったりして聞き取れないです。,申し訳ないです、今回はそのまま視聴してください,0
"第7回のソフトウェアテストレポートについて質問があります。
　サンプルレポートのようにテスト用プログラムやバグの箇所、JUnitコードを枠で囲むにはどうすればできますか？
　サンプルレポートの枠はおそらく\fbox{}だと思ったのですが、複数行を枠で囲む方法がわからず今回のレポートは枠なしで提出しました。","すみません、Wordで作ったものなので即答できません。枠がないのは構いません。後で返信します[Name_edf5bd]サンプルレポートはwordで作成されたものだったのですね。了解しました。[Name_edf5bd]今回の提出には間に合わなさそうですが、
<https://example.com/sample4
にサンプルTeXファイルを置きましたので、参考にしてみて下さい。[Name_edf5bd]ありがとうございます。参考にさせていただきます。",0
僕の環境のせいなら申し訳ないのですが、動画が音声途切れ途切れで何言ってるか分からないんですけど、どうにかなりませんか？,非常に申し訳ないです、録音に失敗しているようです。ひとまずこのまま視聴をお願いします,0
"・TempHumidWarningクラスでupdate​メソッドを実装してるはずなのですが，実装する必要がありますというエラーが消えません
・コンストラクタで戻り値が必要ですというエラーが出ます．綴りを見直しても間違っていないように思います．
・「指定の閾値より大きい」というのは閾値は含むという認識で大丈夫ですか．","最初の二つ「実装する必要があります」と「コンストラクタで戻り値」は何かおかしい事がおきています。ほとんどのばあいは、import するパッケージが変になっている事が多いのですが、まずimportをチェックしてください。
「指定の閾値より大きい」は言葉通り「大きい」です。等号を含まないので閾値は含みません。[Name_edf5bd]何も import していなければ…まずはEclipseを一旦終了してから、再度起動してみてください。[Name_edf5bd]importもなく，再起動もしてみましたが直りませんでした…[Name_edf5bd]では、ソースを見せてください[Name_edf5bd][Name_edf5bd]3行目と15行目でエラーが出ないはずなのに、何かおかしいですね。ミスタイプして非表示文字(画面に表示されない文字)がはいったのかもしれません。
3行目を選択して丸ごと消去、15行目を選択して丸ごと消去して、もう一度打ち直してみてください。[Name_edf5bd]15行目のエラーは消えましたが3行目は変わらずです．[Name_edf5bd]26行目を書き直したら3行目のエラーも消えました[Name_edf5bd]あとこれ，コンストラクタにweatherData.registerObserver(*this*);いります？[Name_edf5bd]えーっと、答えを教えるのは困るのですが…
書き忘れているなーと思っていました。
これで良いですか？[Name_edf5bd]それを書いても7行目の警告は消えないのですが大丈夫なのかなと．．[Name_edf5bd]足りない場所は合ってるけど書くことは間違ってる感じですかね[Name_edf5bd]7行目の警告の内容は？[Name_edf5bd]値が使用されていないというものです[Name_edf5bd]使用されていないので当然警告が出ます。気にしなくて良いですが、気になるのなら
@Name_f24740(“unused”)
*private* Name_c7892e weatherData;
と書いて、警告を出さないようにします。[Name_edf5bd]そんな方法があったんですね，勉強になります．[Name_edf5bd]ありがとうございました．[Name_edf5bd]では、頑張ってね",0
TempHumidWarningのupdataメソッド、displayメソッドが完成していなくても見本の実行結果と一緒になるのですが警告では何を表示させればいいのですか？,"Javadocを参考に「気温と湿度を更新して警告を表示する. 気温と湿度が両方とも指定の閾値より大きい時にのみ気温と湿度は更新される」
を実装してください．[Name_edf5bd]重要なのは「気温と湿度が両方とも指定の閾値より大きい時にのみ」という箇所でしょうか．[Name_edf5bd]条件分岐を作ってdisplayメソッドを呼び出しているのですが、警告が表示されないんです。更新のやり方が間違えているんでしょうか？[Name_edf5bd]条件分岐をするというのは合っていると思います．考えられるケアレスミスとしては閾値の固定値設定が間違っている，条件分岐の条件間違えのどちらかのような気がします．確かめてみてください！[Name_edf5bd]確認したところdisplayメソッドを呼び出しても呼び出せてないと思うんですがどうすればいいですか？[Name_edf5bd][対応終了]以降のスレッドは転送されません。",0
課題1で与えられたObserverクラスのupdateメソッドの引数がtempなのに対しdocはtemperatureなのですがtempに合わせて置いていいですか?,同じ言葉にする必要はないので、生成したjavadocが同じになるように、docに合わせて下さい。[Name_edf5bd]承知しました。お手数をおかけしました。[Name_edf5bd]いいえ、こういう省略の違いはよくありますから、では。,0
Name_9bfd6d.javaのupdateメソッドの引数のpressureとはなんですか？,"気圧のことです。課題１でしょうか？[Name_edf5bd]そうです。
気圧なんですね。わかりました。
ありがとうございました。[Name_edf5bd]他のObserverを実装しているクラスがあるので，それを参考に進めてみてください。またわからなかったら質問待ってます！！",0
提出物は全てまとめて提出するのですか。,課題5-1 ~ 5-5まで個別に５回お願いします。,0
前回までの課題の模範解答を公開するご予定はないのでしょうか？,"来年再受講する学生もいるので、模範解答は公開しません(できません)。自由度が低い課題なので、回答できていれば(JUnitテストが通っていれば)それが正解となっているはずです。[Name_edf5bd]承知致しました。ありがとうございます。
追加問題で考えてもわからないところはどう解決したらいいのでしょうか？
今回の課題5は前回同様とのことですが、前回から解くことが出来なかったので手がつきません。[Name_edf5bd]誰か目がけてDMで質問してください。[Name_edf5bd]畏まりました。ありがとうございます。[Name_edf5bd]とりあえずわからない点をQA Bot経由で質問してみてください。[Name_edf5bd]今回の課題を解決するために、前回の課題から質問するほうが早いかもしれません。",0
"課題提出についてです。
既に提出した課題に不備があることに気づきました。出し直しをしたいのですが、2回出すことになりますが良いのでしょうか。",何回再提出してもらっても問題ありません。[Name_edf5bd]わかりました、ありがとうございます。,0
問題5についてなのですが、JUnitの出力結果も問題4のものと一致しなければいけないのでしょうか？,とにかく緑になればOKです。[Name_edf5bd]承知しました。教えていただきありがとうございます,0
"課題5-5について質問です．
内容の３箇所のnullを書き換えることで2つ目のnullが何を入れるのか分かりません．
その前に，Class&lt;? extends カレー&gt;がどういうことを指しているのか教えてください．","ArrayList&lt;Integer&gt;なら、Integerクラスに対するArrayListですね。
ですから、「? extends カレー」に対応したClass と言う意味で、「? extends カレー」は「カレー」を extends したやつ、つまり、「カレー」の子クラスになります。[Name_edf5bd]カツ，野菜，シーフード，スペシャルが子クラスですね[Name_edf5bd]nullの置き換えはitem.getClass()ですか？[Name_edf5bd]すいません
解決しました",0
"課題５についてです。
JUnitにてエラーが発生してしまったのでデバッグ作業をしているところなのですが、課題５用のテストプログラムを見返すとリフレクションの実装検査()メソッドの内の二行目(全体だと60行目)の一文がデッドコードになっているように感じるのですがこれは意図したものでしょうか？

おそらくは自分のミスでエラーが発生しているのだと思っているのですが、確認させてください。",そこは通るはずです。[Name_edf5bd]さらに見返してみると、カレーチェーン店のcreateCurryInCookroom2メソッドの呼び出しのために実装してある行のようですね。失礼しました。,0
"前回課題4-4について
createCharacterメソッドの
Class&lt;? extends Name_76a40e&gt; characterClass =　
に何が続くのかを解決できておらず，今回の課題もどう考えたら良いかがわかりません．","まず、深く考えずに characterClass の型は Class です（ジェネリックスはおいといて）。したがって、それに代入する値も Class 型になるはずですね。
ですから、まず Class 型を扱っているクラスを探してみましょう。[Name_edf5bd]後、Name_850ae3 も解決しておく必要があります。
これも、type2Classtable の型である Name_46f3ea&lt;Name_a1fa27, Class&lt;? *extends* Name_76a40e&gt;&gt; 型を扱っているところを探せば良いだけです。[Name_edf5bd]すみません，よくわからないです．
代入する値がClass型になることはわかります．[Name_edf5bd]まず、Name_850ae3 ですが、Name_46f3ea&lt;Name_a1fa27, Class&lt;? *extends* Name_76a40e&gt;&gt;　が出てくるのは、Name_14afff しかありません。
しかも、このクラスはメソッドは一つで、それは、あからさまに　Name_46f3ea&lt;Name_a1fa27, Class&lt;? *extends* Name_76a40e&gt;&gt;　型である type2ClassTable を返しています。[Name_edf5bd]ちなみに、クラス名.class と言うやつが Class 型です。[Name_edf5bd]スレッドが終了しないまま、書き込み無しで１週間経過しているので、一旦このスレッドを終了します。何かあれば、新たに質問してください。",0
課題5-3のjUnitで手元のテストは合格したのですが，ウェブ上のテストは合格しませんでした，umlを描いたりして，クラスの関係を確認したりしたのですが，何が間違っているのかわかない状態です。課題5-3はチェーン店が一つ増えるだけなので，特に既存のクラスに変更する点はないと思うのですが，どういう考え方をすればいいでしょうか?,"手元のテストが通ってサーバー上で通らないのは、おそらく提出されたjarファイルの不備です(今日はその事例が多く発生しています)。ひとまずjarファイルを再作成してみてください。こちらでも確認します[Name_edf5bd]わかりました。ありがとうございます[Name_edf5bd]こちらで提出されたソースコードをインポートしてjarファイルを作成したところ、テストが通りました。jarファイルを作成し直して再提出してもうまく行かなければ連絡をお願いします[Name_edf5bd]これらのファイルをjarファイルにして，提出しましたが，web上のテスト合格にしませんでした。説明して頂いたのに申し訳ないのですが，jarファイルに含めるのはこれらのファイルであっているでしょうか?[Name_edf5bd][Name_edf5bd]クラスファイルが入っていません。下記を参考にしてみてください。
<https://example.com/sample6",0
課題３、４のウェブ採点でFile too many contentsと出るのですが、無駄なものまで入っているということでしょうか？,画像ファイルが含まれているか、jarファイルが圧縮されていません。それらを確認してみてください[Name_edf5bd]ありがとうございます,0
課題２で作成するクラスは記述されている３つだけですか？それともシーフードカレーを作るために、各店舗のシーフードカレーのクラスを作成する必要がありますか？,その必要はないです，curryパッケージの他のカレーのように作成してください。,0
基本的な質問なのですがカレークラスはカレー店厨房クラスをフィールドに参照型変数として持っていますがカレークラスのサブクラス内のメソッドでカレー店厨房クラスのメソッドを呼び出していますがこれはカレークラスのサブクラスが委譲をしているというふうに捉えてよろしいのですか??,そもそも、委譲かどうかを判断する時に、下位クラスを見てはいけません。[Name_edf5bd]了解しました！,0
"課題5の内容についての質問です。
type2ClassTable = getType2ClassTable();
Class&lt;? extends カレー&gt; curryClass = type2ClassTable.get(item);
return curry;
と書き換えたところエラーメッセージが表示されなかったので実行してみたのですが、実行結果にNullPointerと表示されました。
どうして何も参照されていないという結果になるのでしょうか？","Name_260d92 が出ている場所を教えてください。[Name_edf5bd]Class&lt;? extends カレー&gt; curryClass = type2ClassTable.get(item);
の部分に表示されました。[Name_edf5bd]自分の解釈では70行目(Class&lt;? extends カレー&gt; curryClass = type2ClassTable.get(item);)の部分が正常に機能していないので後のエラーが表示されていると考えています。[Name_edf5bd][Name_edf5bd]自分のgetType2ClassTable()を呼ぶからでは?[Name_edf5bd]先生のおっしゃる通りですね。[Name_edf5bd]本当ですね。一度修正してみます。[Name_edf5bd]正常に動作しまし、JUnitも通過しました。
ありがとうございました。",0
"課題5の二つ目のnullの変更がわかりません

getType2ClassTable().　で何かするのかなとか思っていますがなかなかうまくいきません","実はそれほど難しい問題ではありません。
代入分の左右で同じ型になるようにすれば良いだけです。
getType2ClassTable は、カレーの種類を表す文字列と、実際にそのカレーを作るクラスとの対応表を得るものです。
つまり、“カツ“だったら、カツカレークラスのように。[Name_edf5bd]getType2ClassTable().get(ここ)
ここになにかいれるということでしょうか？[Name_edf5bd]そうです。なんか入れたら Class が返ってくれば言い訳ですよね。[Name_edf5bd]すみません。それがあまりわかっていなくてString型の変数なのはわかるんですが、なんなんですか？[Name_edf5bd]type2ClassTable って何と何の対応表ですか？[Name_edf5bd]カレーの種類の文字列とそのカレーのクラスです[Name_edf5bd]違いますよね。
Name_46f3ea&lt;Name_a1fa27, Class&lt;? *extends* Name_76a40e&gt;&gt;
ですから、文字列ではなく、Typeです。[Name_edf5bd]失礼、今の間違い。[Name_edf5bd]前回の課題の質問も来ていて、そちらと混乱しました。[Name_edf5bd]カレーの種類の文字列って、引数にいませんか？[Name_edf5bd]僕にはわかりませんでした[Name_edf5bd]itemのことですか？それしかstring型を探せません[Name_edf5bd]文字列ですよね。
それしかないですよね。[Name_edf5bd]じゃあ今のエラーは三番目のnullっぽいです[Name_edf5bd]これはこれであまりわかっていません[Name_edf5bd]三番目のnullってcurryじゃないんですか？[Name_edf5bd]ですよ。
他にらしいのありませんよね。[Name_edf5bd]すみません、なぜエラーが出てるかがわかりません[Name_edf5bd][Name_edf5bd]ここだとおもうんですけど、何がというかここは生徒はてをいれないのでなんとも言えないかもしれないんですけど、考えられる間違いなどありませんか？[Name_edf5bd]type2ClassTableに正しい値が入っていますか。
あるクラスのstaticメソッドを読んでいますか。[Name_edf5bd]スレッドが終了しないまま、書き込み無しで１週間経過しているので、一旦このスレッドを終了します。何かあれば、新たに質問してください。",0
次週の2限目は小テストはありますか,以前、Zoomで口頭によりアナウンスしましたが、次回と次次回はありません。,0
UMLに関して質問なのですが、カレーチェーン店とカレーの関係はコンポジションでしょうか？カレーチェーン店が消えた際にカレーが存在できる場所がなくなるのでそう思ったのですが,"実は、type2ClassTableは課題４までは不要なので、消しても大丈夫です。しかし、消すとコンポジションになりません。
しかしながら、あなたが感じたようにコンポジションに思えるわけです。
難しい問題ではありますが、コンポジションであることが明示的に示される、課題５の実装が望ましいと言うことでしょう。[Name_edf5bd]承知しました。教えていただきありがとうございます。",0
